model,max_depth,threshold,sharpe_global,final_equity_multiple,mean_sharpe_window,std_sharpe_window,negative_windows
rf,4,0.45,0.9927676624837705,7.023767273837426,1.3164749324907288,2.909042659367247,3
rf,4,0.5,0.7868870450257415,3.384460253120778,1.1367715512339793,2.580974075828943,3
rf,4,0.55,1.2427065122037377,7.472545513309491,1.5036425142143948,1.9909225406038085,2
rf,4,0.6,-0.6164241064951659,0.9519626113288104,0.3520122981399658,1.3330579979912875,1
rf,6,0.45,0.803122584310976,3.6144981362747144,1.1716499427797746,3.0049983475313367,3
rf,6,0.5,0.9519868368941152,5.370357768874579,1.3182999773348905,2.5718658072301768,3
rf,6,0.55,1.3838017036174388,10.459076442163525,1.7119378049749188,1.9285207011249326,2
rf,6,0.6,0.1440402557078968,1.0412710182863876,0.11664280966174895,1.5727295653316133,3
rf,8,0.45,1.038731931107202,7.981317398830489,1.398263056573441,2.723403907690375,3
rf,8,0.5,0.9752687260605921,5.7149175656290465,1.3309306773250549,2.489251137791697,3
rf,8,0.55,1.236867329323704,7.525667825601843,1.4315025748251338,1.8345971986055825,2
rf,8,0.6,0.1318005272203585,1.024699031442034,0.5726061870205382,1.6181609852259606,3
xgb,3,0.45,0.695822457157978,2.54714220342834,1.0471112983052295,2.9851750748925197,3
xgb,3,0.5,0.9032072892718999,4.691029560583979,1.2319372246940736,2.632524691030598,3
xgb,3,0.55,1.304911300688012,8.487320915592429,1.449554934476768,1.7694222178703591,2
xgb,3,0.6,0.9390398022240286,2.435097551834614,1.2434457576558278,2.0888042072008863,2
xgb,4,0.45,0.7156902879242999,2.729484765503171,1.0813216352775135,2.925469273313957,3
xgb,4,0.5,0.9352702698259563,5.109768039493617,1.257096856726524,2.4357247391662145,3
xgb,4,0.55,1.1219766393025048,5.85077737015615,1.3083799335567237,1.610721224962955,2
xgb,4,0.6,1.1495994723071399,3.49671037921438,1.5351888285995507,2.1681663463542815,2
xgb,5,0.45,0.6392469006008223,2.148727374937639,0.9650918361132166,2.799932034933978,3
xgb,5,0.5,1.1196668153250255,8.456017068384682,1.4638959233610533,2.5926300704464325,3
xgb,5,0.55,1.1194155497573883,6.058249701535237,1.2120582435642089,1.8002640576288063,3
xgb,5,0.6,0.6548074876570668,1.9464756132285161,0.9486084402230887,1.6110601280921883,2
