model,mean_auc,std_auc,mean_accuracy,std_accuracy,mean_sharpe_window,std_sharpe_window,sharpe_global_oos,windows_auc_below_random,windows_sharpe_negative,auc_slope,sharpe_slope,final_equity_multiple
logistic,0.539724432554143,0.011649284796576518,0.5173959748072674,0.008678048247160536,0.5422181341230707,1.2888821375928023,0.3753383614033186,0,3,-0.0002088894716607754,0.13912198194589642,1.3655783888503081
rf,0.5517022554717838,0.012865977673833505,0.5375589978918653,0.0061969952055248405,1.062308280121576,1.4035264987310587,0.8373408362956103,0,2,-0.0016466951116417584,0.15927668479759607,3.965430510332034
xgb,0.543893011983368,0.009971189340070408,0.5335119240609825,0.008147049137778589,0.8284602247016677,1.0773816086317385,0.7351423259503584,0,2,-0.0005957875736823493,0.0568410274792437,3.1181172145309892
