model,window,accuracy,auc,precision,recall,f1_score,positive_rate_pred,positive_rate_true,mean_return,std_return,sharpe,hit_ratio,expectancy
logistic,1,0.514641457228499,0.5261420247313691,0.5176617693029072,0.7466185752930569,0.6114085287059258,0.737606640534932,0.5114134194143417,1.1992717296472246e-05,0.009479282852070493,0.006862741273439648,0.3809084620705557,1.1992717296472246e-05
logistic,2,0.5077097505668934,0.5400423613773495,0.5052848672338232,0.8860759493670886,0.6435724839927762,0.8795918367346939,0.5015873015873016,8.577701241717473e-05,0.006295830122492148,1.2866040733366435,0.4492063492063492,8.577701241717473e-05
logistic,3,0.513121546961326,0.5330419820928578,0.5082097457627118,0.8814882866329812,0.6447169494372585,0.8692449355432781,0.5011510128913443,-0.00015452144230781626,0.006925281472459039,-2.0452300874300966,0.43784530386740333,-0.00015452144230781626
logistic,4,0.5006793478260869,0.5442650297526249,0.4978431870083735,0.896709323583181,0.6402349486049926,0.8924365942028986,0.4954710144927536,-2.1631889402517807e-05,0.005135375770400059,-0.39095943978527087,0.4519927536231884,-2.1631889402517807e-05
logistic,5,0.5173842965691918,0.5603546752961286,0.5161629434954008,0.8850833708877873,0.6520584329349269,0.8761224959705273,0.5109371402256505,2.910076299153981e-05,0.004353866733944863,0.647046046499488,0.4529127331337785,2.910076299153981e-05
logistic,6,0.5215126811594203,0.5558803575315479,0.5156644770085902,0.9123826553419758,0.6589184826472962,0.896286231884058,0.5065670289855072,5.639052662313126e-05,0.003417877386266759,1.574867839456973,0.4635416666666667,5.639052662313126e-05
logistic,7,0.5228937728937729,0.5380155888229751,0.5227403569372481,0.8099910793933988,0.635409377186844,0.7953296703296703,0.5132783882783882,6.201173037253826e-05,0.0048176062115481266,1.2360284859829578,0.41552197802197804,6.201173037253826e-05
logistic,8,0.5305706521739131,0.5366964358212453,0.5344528083381587,0.7987884032886197,0.6404163052905464,0.7821557971014492,0.5233242753623188,0.00011771836882785981,0.004853738744866487,2.342013751341326,0.4114583333333333,0.00011771836882785981
logistic,9,0.5234806629834254,0.5395972348633244,0.5220567575161562,0.8343062415806017,0.6422398893881783,0.8192909760589319,0.5126611418047882,5.941167847894351e-05,0.00444790685695421,1.3032079666130636,0.4166666666666667,5.941167847894351e-05
logistic,10,0.5219655797101449,0.5232086352520069,0.5193736730360934,0.8670801949490474,0.6496265560165975,0.8532608695652174,0.5110960144927537,-1.9721442249009826e-05,0.0037402361979464805,-0.5382600360578177,0.43591485507246375,-1.9721442249009826e-05
