model,sharpe_global,mean_sharpe_window,std_sharpe_window,negative_windows,expectancy_mean,final_equity_multiple
rf,0.8373408362956103,1.062308280121576,1.4035264987310587,2,4.467066479698938e-05,3.965430510332034
xgb,0.7351423259503584,0.8284602247016677,1.0773816086317385,2,3.834479043267906e-05,3.1181172145309892
logistic,0.3753383614033186,0.5422181341230707,1.2888821375928023,3,2.2652802304831572e-05,1.3655783888503081
