model,window,accuracy,auc,precision,recall,f1_score,positive_rate_pred,positive_rate_true,mean_return,std_return,sharpe,hit_ratio,expectancy
xgb,1,0.5222504035047267,0.530358885279861,0.5269970414201184,0.6424706943192064,0.5790329134498171,0.6234724463915149,0.5114134194143417,6.201544302020671e-05,0.008411162625623653,0.6831187422303985,0.32557067097071707,6.201544302020671e-05
xgb,2,0.5385487528344671,0.5534082233231921,0.531416400425985,0.6767631103074141,0.5953469874726586,0.6387755102040816,0.5015873015873016,0.00011550982445415215,0.005465383129678091,1.962153139611172,0.33764172335600906,0.00011550982445415215
xgb,3,0.5273941068139963,0.5405534938725727,0.5230826507818317,0.645383555351401,0.5778326136129961,0.6183241252302025,0.5011510128913443,-5.496222693934377e-05,0.006362160870063684,-0.8415964359864921,0.3248158379373849,-5.496222693934377e-05
xgb,4,0.5378170289855072,0.5494855856491586,0.5259076489249207,0.6819012797074955,0.5938308457711443,0.6424365942028986,0.4954710144927536,-2.0408002297282195e-05,0.004622459736426877,-0.3721574299095907,0.3378623188405797,-2.0408002297282195e-05
xgb,5,0.5348837209302325,0.5511165978804861,0.5389432485322896,0.6205497972059486,0.5768747381650607,0.5883030163481464,0.5109371402256505,3.266675793193709e-05,0.0039041903969326596,0.8089374847087315,0.3159106608335252,3.266675793193709e-05
xgb,6,0.5516304347826086,0.5591327424804946,0.5508105970739423,0.6227089852481001,0.5845572807385648,0.5726902173913043,0.5065670289855072,3.7622616843569164e-05,0.0028305521413497284,1.2563916094269612,0.317481884057971,3.7622616843569164e-05
xgb,7,0.5306776556776557,0.547971548048334,0.5393442622950819,0.5869759143621767,0.5621529260999573,0.5586080586080586,0.5132783882783882,5.109300897363032e-05,0.00439760234710286,1.1053747166923185,0.2976190476190476,5.109300897363032e-05
xgb,8,0.5323822463768116,0.539183559779676,0.5515075376884422,0.569883167459974,0.5605447967652692,0.5407608695652174,0.5233242753623188,0.00012542547552244306,0.004380259811447614,2.831508793501103,0.29528985507246375,0.00012542547552244306
xgb,9,0.5264732965009208,0.5286585659443439,0.536108751062022,0.5666816344858554,0.5509714036236629,0.5418968692449355,0.5126611418047882,3.24957577805266e-05,0.003911886360156045,0.820755580606806,0.28015653775322286,3.24957577805266e-05
xgb,10,0.5330615942028986,0.5390609175755607,0.5404732254047323,0.5768719539211342,0.5580797256750964,0.545516304347826,0.5110960144927537,1.989249036951484e-06,0.003214008618370559,0.03011604613526966,0.28781702898550726,1.989249036951484e-06
