model,window,accuracy,auc,precision,recall,f1_score,positive_rate_pred,positive_rate_true,mean_return,std_return,sharpe,hit_ratio,expectancy
rf,1,0.5303204980401199,0.5374912073383034,0.5319675026492405,0.678990081154193,0.5965537730243613,0.6527553608485128,0.5114134194143417,3.942819716283843e-05,0.008990242882344492,0.3559879326650819,0.343324878948582,3.942819716283843e-05
rf,2,0.546031746031746,0.5700941345658638,0.5358117326057299,0.7102169981916817,0.6108087091757387,0.6648526077097505,0.5015873015873016,0.00017394854655592156,0.005800212397611984,2.9044974035417814,0.35895691609977326,0.00017394854655592156
rf,3,0.537292817679558,0.5548926892064306,0.5303967965052785,0.6692696371152963,0.5917952883834281,0.632366482504604,0.5011510128913443,-9.010808000008136e-05,0.006669254470855615,-1.2256368384542473,0.3379373848987109,-9.010808000008136e-05
rf,4,0.535552536231884,0.5519136533860227,0.5239761988099405,0.6841864716636198,0.5934588701684836,0.6469655797101449,0.4954710144927536,-4.076188091926798e-05,0.004773483341094088,-0.7389255908496943,0.34080615942028986,-4.076188091926798e-05
rf,5,0.5450149666129404,0.5638338726747003,0.5470747772181325,0.6363226678684092,0.5883333333333334,0.594289661524292,0.5109371402256505,3.940181136701391e-05,0.0038822154875801625,1.0102936055344347,0.32327883951185815,3.940181136701391e-05
rf,6,0.5466485507246377,0.5704558262588209,0.545916373583431,0.6244970943227537,0.5825688073394495,0.579483695652174,0.5065670289855072,3.715956328201367e-05,0.002819775047972615,1.256451095179751,0.31929347826086957,3.715956328201367e-05
rf,7,0.5366300366300366,0.5483802343526434,0.545265780730897,0.5856378233719893,0.5647311827956989,0.5512820512820513,0.5132783882783882,4.183792792701006e-05,0.004339291244257041,0.9715068006111356,0.29967948717948717,4.183792792701006e-05
rf,8,0.5344202898550725,0.542779498237799,0.5527077304671352,0.5785374296841195,0.5653276955602538,0.5477807971014492,0.5233242753623188,0.00014124641009227032,0.004284761683366438,3.2795522303887985,0.29959239130434784,0.00014124641009227032
rf,9,0.5306169429097606,0.5368567876656121,0.5384930384930385,0.5904804669959587,0.5632897836795888,0.5621546961325967,0.5126611418047882,6.706977361254543e-05,0.004013558224631972,1.6857896306249736,0.2955801104972376,6.706977361254543e-05
rf,10,0.5330615942028986,0.540324651031642,0.539714867617108,0.5870624723083739,0.5623938879456706,0.5559329710144928,0.5110960144927537,3.7484378889629756e-05,0.0032262758342842396,1.123566531973745,0.29868659420289856,3.7484378889629756e-05
