,value
Final Value,9994.928531162917
CAGR,-0.27215554395983976
Sharpe,-2.315722461351572
Sortino,-0.0006196518669918928
Profit Factor,0.5572799929277259
Max Drawdown,90.64027916107004
Calmar,-0.30025894279982585
Volatility,0.9329883093973246
Trades,665.0
Win Rate,0.45864661654135336
Avg Trade Return,-135.34597213358933
Exposure,0.06005478201323899
Avg Trade Duration,3.956390977443609
